occupation,female,male,total_obs,dominance_category
Personal care workers,85.15,14.85,728.8,strongly female dominated
Health associate professionals,82.76,17.24,2514.4,strongly female dominated
Cleaners and helpers,82.0,18.01,1092.0,strongly female dominated
General and keyboard clerks,79.27,20.72,2695.5,female dominated
Teaching professionals,72.6,27.39,2433.0,female dominated
Sales workers,68.22,31.78,2287.0,female dominated
Food preparation assistants,67.09,32.91,299.6,female dominated
Health professionals,66.99,33.01,977.4,female dominated
Customer services clerks,64.98,35.02,594.6,female dominated
Other clerical support workers,61.86,38.14,432.1,female dominated
"Legal, social and cultural professionals",61.61,38.39,1318.7,female dominated
Personal service workers,56.22,43.78,1746.3,evenly dominated
"Legal, social, cultural and related associate professionals",54.44,45.56,506.4,evenly dominated
Business and administration associate professionals,53.45,46.55,2853.1,evenly dominated
Total,47.19,52.81,39718.2,evenly dominated
Business and administration professionals,45.98,54.02,1679.5,evenly dominated
Numerical and material recording clerks,43.21,56.79,1498.6,evenly dominated
"Hospitality, retail and other services managers",42.95,57.05,213.5,evenly dominated
Refuse workers and other elementary workers,32.98,67.02,186.8,male dominated
Handicraft and printing workers,32.87,67.13,181.6,male dominated
Administrative and commercial managers,32.47,67.56,468.5,male dominated
"Food processing, wood working, garment and other craft and related trades workers",30.16,69.84,593.9,male dominated
"Labourers in mining, construction, manufacturing and transport",29.24,70.76,1125.0,male dominated
Assemblers,29.02,70.98,334.9,male dominated
Production and specialised services managers,28.23,71.77,499.1,male dominated
"Agricultural, forestry and fishery labourers",26.71,73.38,114.2,male dominated
Science and engineering professionals,26.61,73.39,1708.6,male dominated
Protective services workers,23.27,76.73,491.1,male dominated
"Chief executives, senior officials and legislators",21.61,78.39,547.9,male dominated
Market-oriented skilled agricultural workers,21.04,78.96,461.4,male dominated
Stationary plant and machine operators,21.01,78.99,949.0,male dominated
Science and engineering associate professionals,20.29,79.71,1708.8,male dominated
Information and communications technology professionals,17.62,82.38,1020.2,strongly male dominated
Information and communications technicians,13.94,86.1,307.1,strongly male dominated
Electrical and electronic trades workers,9.12,90.88,654.9,strongly male dominated
Drivers and mobile plant operators,6.98,93.03,1177.0,strongly male dominated
"Metal, machinery and related trades workers",5.23,94.77,1749.5,strongly male dominated
"Building and related trades workers, excluding electricians",3.22,96.78,1001.9,strongly male dominated
