occupation,female,male,total_obs
Personal care workers,92.88,7.12,1316.5
General and keyboard clerks,86.13,13.88,961.7
Cleaners and helpers,84.66,15.33,1077.2
Health associate professionals,76.84,23.16,984.8
Customer services clerks,75.59,24.38,289.2
Food preparation assistants,69.25,30.75,202.9
Other clerical support workers,67.62,32.41,271.8
Business and administration associate professionals,67.5,32.49,1906.7
"Legal, social and cultural professionals",67.1,32.91,815.8
Health professionals,66.77,33.23,796.5
Teaching professionals,65.53,34.47,1294.0
"Legal, social, cultural and related associate professionals",64.25,35.75,1002.2
Sales workers,63.78,36.22,1125.5
Personal service workers,58.45,41.55,935.4
Numerical and material recording clerks,54.07,45.93,723.0
Administrative and commercial managers,52.94,47.06,599.9
Total,49.29,50.71,27399.3
Business and administration professionals,49.28,50.73,1667.4
Handicraft and printing workers,43.18,56.92,107.7
Stationary plant and machine operators,39.25,60.75,573.2
"Hospitality, retail and other services managers",38.86,61.16,485.3
"Labourers in mining, construction, manufacturing and transport",35.98,64.02,624.2
Science and engineering professionals,35.76,64.24,1198.1
"Food processing, wood working, garment and other craft and related trades workers",33.33,66.67,456.3
"Chief executives, senior officials and legislators",30.47,69.59,182.5
Production and specialised services managers,29.23,70.79,666.2
Assemblers,28.27,71.73,146.8
Market-oriented skilled agricultural workers,26.52,73.48,657.9
Refuse workers and other elementary workers,20.92,79.08,224.2
Science and engineering associate professionals,20.34,79.66,946.6
Protective services workers,20.15,79.85,448.1
Non-commissioned armed forces officers,19.9,80.1,81.9
Information and communications technology professionals,18.23,81.79,818.1
"Agricultural, forestry and fishery labourers",17.56,82.44,126.4
Information and communications technicians,16.89,83.11,204.9
"Armed forces occupations, other ranks",15.14,84.86,75.3
Drivers and mobile plant operators,7.52,92.48,1065.2
"Metal, machinery and related trades workers",4.25,95.76,761.6
"Building and related trades workers, excluding electricians",2.55,97.45,941.9
