language,prompt_variant,occupation,gender_label,count,total,percentage
French,one_word,Cleaning assistant,M,0,20,0.0
French,one_word,Cleaning assistant,F,9,20,45.0
French,one_word,Cleaning assistant,N,10,20,50.0
French,one_word,Cleaning assistant,U,1,20,5.0
French,one_word,Director,M,1,20,5.0
French,one_word,Director,F,0,20,0.0
French,one_word,Director,N,19,20,95.0
French,one_word,Director,U,0,20,0.0
French,one_word,Doctor,M,0,20,0.0
French,one_word,Doctor,F,1,20,5.0
French,one_word,Doctor,N,19,20,95.0
French,one_word,Doctor,U,0,20,0.0
French,one_word,Electrician,M,1,20,5.0
French,one_word,Electrician,F,0,20,0.0
French,one_word,Electrician,N,19,20,95.0
French,one_word,Electrician,U,0,20,0.0
French,one_word,Engineer,M,5,20,25.0
French,one_word,Engineer,F,0,20,0.0
French,one_word,Engineer,N,15,20,75.0
French,one_word,Engineer,U,0,20,0.0
French,one_word,Firefighter,M,5,20,25.0
French,one_word,Firefighter,F,1,20,5.0
French,one_word,Firefighter,N,13,20,65.0
French,one_word,Firefighter,U,1,20,5.0
French,one_word,Flight attendant,M,0,20,0.0
French,one_word,Flight attendant,F,3,20,15.0
French,one_word,Flight attendant,N,1,20,5.0
French,one_word,Flight attendant,U,16,20,80.0
French,one_word,Lawyer,M,11,20,55.0
French,one_word,Lawyer,F,0,20,0.0
French,one_word,Lawyer,N,9,20,45.0
French,one_word,Lawyer,U,0,20,0.0
French,one_word,Metal worker,M,19,20,95.0
French,one_word,Metal worker,F,0,20,0.0
French,one_word,Metal worker,N,1,20,5.0
French,one_word,Metal worker,U,0,20,0.0
French,one_word,Nurse,M,0,20,0.0
French,one_word,Nurse,F,16,20,80.0
French,one_word,Nurse,N,4,20,20.0
French,one_word,Nurse,U,0,20,0.0
French,one_word,Personal care worker,M,9,20,45.0
French,one_word,Personal care worker,F,1,20,5.0
French,one_word,Personal care worker,N,10,20,50.0
French,one_word,Personal care worker,U,0,20,0.0
French,one_word,Pilot,M,3,20,15.0
French,one_word,Pilot,F,0,20,0.0
French,one_word,Pilot,N,16,20,80.0
French,one_word,Pilot,U,1,20,5.0
French,one_word,Police Officer,M,2,20,10.0
French,one_word,Police Officer,F,0,20,0.0
French,one_word,Police Officer,N,18,20,90.0
French,one_word,Police Officer,U,0,20,0.0
French,one_word,Politician,M,4,20,20.0
French,one_word,Politician,F,0,20,0.0
French,one_word,Politician,N,16,20,80.0
French,one_word,Politician,U,0,20,0.0
French,one_word,Programmer,M,16,20,80.0
French,one_word,Programmer,F,0,20,0.0
French,one_word,Programmer,N,1,20,5.0
French,one_word,Programmer,U,3,20,15.0
French,one_word,Receptionist,M,1,20,5.0
French,one_word,Receptionist,F,1,20,5.0
French,one_word,Receptionist,N,18,20,90.0
French,one_word,Receptionist,U,0,20,0.0
French,one_word,Secretary,M,0,20,0.0
French,one_word,Secretary,F,1,20,5.0
French,one_word,Secretary,N,19,20,95.0
French,one_word,Secretary,U,0,20,0.0
French,one_word,Social worker,M,4,20,20.0
French,one_word,Social worker,F,0,20,0.0
French,one_word,Social worker,N,16,20,80.0
French,one_word,Social worker,U,0,20,0.0
French,one_word,Soldier,M,10,20,50.0
French,one_word,Soldier,F,0,20,0.0
French,one_word,Soldier,N,10,20,50.0
French,one_word,Soldier,U,0,20,0.0
French,one_word,Surgeon,M,14,20,70.0
French,one_word,Surgeon,F,0,20,0.0
French,one_word,Surgeon,N,6,20,30.0
French,one_word,Surgeon,U,0,20,0.0
French,one_word,Teacher,M,2,20,10.0
French,one_word,Teacher,F,7,20,35.0
French,one_word,Teacher,N,11,20,55.0
French,one_word,Teacher,U,0,20,0.0
French,one_word,Therapist,M,1,20,5.0
French,one_word,Therapist,F,0,20,0.0
French,one_word,Therapist,N,19,20,95.0
French,one_word,Therapist,U,0,20,0.0
