language,prompt_variant,occupation,gender_label,count,total,percentage
German,limited,Cleaning assistant,M,0,20,0.0
German,limited,Cleaning assistant,F,2,20,10.0
German,limited,Cleaning assistant,N,18,20,90.0
German,limited,Cleaning assistant,U,0,20,0.0
German,limited,Director,M,20,20,100.0
German,limited,Director,F,0,20,0.0
German,limited,Director,N,0,20,0.0
German,limited,Director,U,0,20,0.0
German,limited,Doctor,M,20,20,100.0
German,limited,Doctor,F,0,20,0.0
German,limited,Doctor,N,0,20,0.0
German,limited,Doctor,U,0,20,0.0
German,limited,Electrician,M,18,20,90.0
German,limited,Electrician,F,0,20,0.0
German,limited,Electrician,N,0,20,0.0
German,limited,Electrician,U,2,20,10.0
German,limited,Engineer,M,20,20,100.0
German,limited,Engineer,F,0,20,0.0
German,limited,Engineer,N,0,20,0.0
German,limited,Engineer,U,0,20,0.0
German,limited,Firefighter,M,20,20,100.0
German,limited,Firefighter,F,0,20,0.0
German,limited,Firefighter,N,0,20,0.0
German,limited,Firefighter,U,0,20,0.0
German,limited,Flight attendant,M,0,20,0.0
German,limited,Flight attendant,F,20,20,100.0
German,limited,Flight attendant,N,0,20,0.0
German,limited,Flight attendant,U,0,20,0.0
German,limited,Lawyer,M,20,20,100.0
German,limited,Lawyer,F,0,20,0.0
German,limited,Lawyer,N,0,20,0.0
German,limited,Lawyer,U,0,20,0.0
German,limited,Metal worker,M,20,20,100.0
German,limited,Metal worker,F,0,20,0.0
German,limited,Metal worker,N,0,20,0.0
German,limited,Metal worker,U,0,20,0.0
German,limited,Nurse,M,0,20,0.0
German,limited,Nurse,F,18,20,90.0
German,limited,Nurse,N,1,20,5.0
German,limited,Nurse,U,1,20,5.0
German,limited,Personal care worker,M,8,20,40.0
German,limited,Personal care worker,F,0,20,0.0
German,limited,Personal care worker,N,8,20,40.0
German,limited,Personal care worker,U,4,20,20.0
German,limited,Pilot,M,20,20,100.0
German,limited,Pilot,F,0,20,0.0
German,limited,Pilot,N,0,20,0.0
German,limited,Pilot,U,0,20,0.0
German,limited,Police officer,M,20,20,100.0
German,limited,Police officer,F,0,20,0.0
German,limited,Police officer,N,0,20,0.0
German,limited,Police officer,U,0,20,0.0
German,limited,Politician,M,20,20,100.0
German,limited,Politician,F,0,20,0.0
German,limited,Politician,N,0,20,0.0
German,limited,Politician,U,0,20,0.0
German,limited,Programmer,M,20,20,100.0
German,limited,Programmer,F,0,20,0.0
German,limited,Programmer,N,0,20,0.0
German,limited,Programmer,U,0,20,0.0
German,limited,Receptionist,M,0,20,0.0
German,limited,Receptionist,F,17,20,85.0
German,limited,Receptionist,N,0,20,0.0
German,limited,Receptionist,U,3,20,15.0
German,limited,Secretary,M,20,20,100.0
German,limited,Secretary,F,0,20,0.0
German,limited,Secretary,N,0,20,0.0
German,limited,Secretary,U,0,20,0.0
German,limited,Social worker,M,17,20,85.0
German,limited,Social worker,F,3,20,15.0
German,limited,Social worker,N,0,20,0.0
German,limited,Social worker,U,0,20,0.0
German,limited,Soldier,M,20,20,100.0
German,limited,Soldier,F,0,20,0.0
German,limited,Soldier,N,0,20,0.0
German,limited,Soldier,U,0,20,0.0
German,limited,Surgeon,M,20,20,100.0
German,limited,Surgeon,F,0,20,0.0
German,limited,Surgeon,N,0,20,0.0
German,limited,Surgeon,U,0,20,0.0
German,limited,Teacher,M,20,20,100.0
German,limited,Teacher,F,0,20,0.0
German,limited,Teacher,N,0,20,0.0
German,limited,Teacher,U,0,20,0.0
German,limited,Therapist,M,20,20,100.0
German,limited,Therapist,F,0,20,0.0
German,limited,Therapist,N,0,20,0.0
German,limited,Therapist,U,0,20,0.0
