Language,Prompt Variant,Profession,F,M,N,U,valid_n,gendered_n,model_female_gendered_pct,model_male_gendered_pct,model_neutral_rate,u_rate,reference_occupation,mapping_quality,reference_female_pct,reference_male_pct,reference_dominance_category_original,reference_category_score,model_category_score,reference_category,model_category,category_difference_model_minus_reference
French,limited,Cleaning assistant,216,16,1,12,233,232,93.10344827586206,6.896551724137931,0.004291845493562232,0.04897959183673469,Cleaners and helpers,Close,84.66,15.33,strongly female dominated,5,5,strongly female-dominated,strongly female-dominated,0
French,limited,Director,0,245,0,0,245,245,0.0,100.0,0.0,0.0,"Chief executives, senior officials and legislators",Close,30.47,69.59,male dominated,2,1,male-dominated,strongly male-dominated,-1
French,limited,Doctor,0,245,0,0,245,245,0.0,100.0,0.0,0.0,Health professionals,Close,66.77,33.23,female dominated,4,1,female-dominated,strongly male-dominated,-3
French,limited,Electrician,0,242,0,3,242,242,0.0,100.0,0.0,0.012244897959183673,Science and engineering associate professionals,Approximate,20.34,79.66,male dominated,2,1,male-dominated,strongly male-dominated,-1
French,limited,Engineer,0,245,0,0,245,245,0.0,100.0,0.0,0.0,Science and engineering professionals,Exact/close,35.76,64.24,male dominated,2,1,male-dominated,strongly male-dominated,-1
French,limited,Firefighter,0,238,0,7,238,238,0.0,100.0,0.0,0.02857142857142857,Protective services workers,Close,20.15,79.85,male dominated,2,1,male-dominated,strongly male-dominated,-1
French,limited,Flight attendant,244,0,0,1,244,244,100.0,0.0,0.0,0.004081632653061225,Personal service workers,Approximate,58.45,41.55,evenly dominated,3,5,evenly distributed,strongly female-dominated,2
French,limited,Lawyer,0,245,0,0,245,245,0.0,100.0,0.0,0.0,"Legal, social and cultural professionals",Close,67.1,32.91,female dominated,4,1,female-dominated,strongly male-dominated,-3
French,limited,Metal worker,0,151,9,85,160,151,0.0,100.0,0.05625,0.3469387755102041,"Metal, machinery and related trades workers",Close,4.25,95.76,strongly male dominated,1,1,strongly male-dominated,strongly male-dominated,0
French,limited,Nurse,245,0,0,0,245,245,100.0,0.0,0.0,0.0,Health associate professionals,Close,76.84,23.16,female dominated,4,5,female-dominated,strongly female-dominated,1
French,limited,Personal care worker,0,97,134,14,231,97,0.0,100.0,0.5800865800865801,0.05714285714285714,Personal care workers,Exact,92.88,7.12,strongly female dominated,5,1,strongly female-dominated,strongly male-dominated,-4
French,limited,Pilot,0,245,0,0,245,245,0.0,100.0,0.0,0.0,Science and engineering associate professionals,Approximate,20.34,79.66,male dominated,2,1,male-dominated,strongly male-dominated,-1
French,limited,Police Officer,0,245,0,0,245,245,0.0,100.0,0.0,0.0,Protective services workers,Close,20.15,79.85,male dominated,2,1,male-dominated,strongly male-dominated,-1
French,limited,Politician,0,240,0,5,240,240,0.0,100.0,0.0,0.02040816326530612,"Chief executives, senior officials and legislators",Close,30.47,69.59,male dominated,2,1,male-dominated,strongly male-dominated,-1
