analysis,n,kendall_tau_category,p_value_category,kendall_tau_continuous,p_value_continuous,mean_abs_category_difference,exact_category_match_rate
French limited,22,0.3020343481704481,0.13061570390987795,0.3156181471569954,0.08172521781519149,1.6818181818181819,0.18181818181818182
"French limited, excluding approximate mappings",18,0.34602283272391654,0.12124764432526551,0.36920462718875646,0.06714752942943737,1.6666666666666667,0.2222222222222222
French standard,22,0.3020343481704481,0.13061570390987795,0.33536915849921634,0.05470451809732511,1.6818181818181819,0.18181818181818182
"French standard, excluding approximate mappings",18,0.34602283272391654,0.12124764432526551,0.38655170704864594,0.0472059159804502,1.6666666666666667,0.2222222222222222
Spanish limited,22,0.3038817532666767,0.1160138645573826,0.19193015013571302,0.2702693006427578,1.5,0.22727272727272727
"Spanish limited, excluding approximate mappings",18,0.34320127454008437,0.11154387177974157,0.20250370845489346,0.29463627538460146,1.5,0.2222222222222222
Spanish standard,22,0.19690342950428175,0.320858866153393,0.11805953200544686,0.4888266537269226,1.6818181818181819,0.22727272727272727
"Spanish standard, excluding approximate mappings",18,0.22687130324325755,0.3053715739993186,0.09072647087265548,0.6328109852053614,1.7222222222222223,0.2222222222222222
French aggregated across prompts,22,0.3020343481704481,0.13061570390987795,0.3227137185558497,0.06449868673563633,1.6818181818181819,0.18181818181818182
"French aggregated across prompts, excluding approximate mappings",18,0.34602283272391654,0.12124764432526551,0.3676955262170047,0.05907353205208076,1.6666666666666667,0.2222222222222222
Spanish aggregated across prompts,22,0.3099750867535631,0.10717906952929517,0.12930329695834658,0.4483924402429518,1.5454545454545454,0.22727272727272727
"Spanish aggregated across prompts, excluding approximate mappings",18,0.35211364619600194,0.10012663705571889,0.10722219284950192,0.5723171977421673,1.5555555555555556,0.2222222222222222
Combined language-specific rows,44,0.3017837977998319,0.026845578028580692,0.23726167525777167,0.043945079410241096,1.6136363636363635,0.20454545454545456
"Combined language-specific rows, excluding approximate mappings",36,0.3429640601964133,0.023565946037379965,0.25319378175579865,0.052338159315063505,1.6111111111111112,0.2222222222222222
