Profession,n_conditions,total_valid_n,alpha_bonferroni,missing_conditions,test_performed,reason_not_performed,chi2,df,p_value,significant_bonferroni,cramers_v,min_expected,low_expected_warning,max_abs_standardized_residual,largest_residual_condition,largest_residual_category
Cleaning assistant,4,948,0.002272727272727273,,True,,603.9129965988637,6.0,3.3395987864836794e-127,True,0.5643753298772761,0.7120253164556962,True,16.856698944921803,Spanish_standard,M
Director,4,980,0.002272727272727273,,False,Only one response category observed across all conditions; no distributional variation to test.,,,,False,,,False,,,
Doctor,4,980,0.002272727272727273,,True,,3.003064351378958,3.0,0.39115295482236123,False,0.05535658388085486,0.25,True,1.5,French_standard,N
Electrician,4,969,0.002272727272727273,,True,,5.9224278749762576,3.0,0.11544587775242535,False,0.07817862029866045,0.4891640866873065,True,2.101399542263445,Spanish_standard,N
Engineer,4,980,0.002272727272727273,,False,Only one response category observed across all conditions; no distributional variation to test.,,,,False,,,False,,,
Firefighter,4,966,0.002272727272727273,,True,,5.488576850094877,3.0,0.13932344687044743,False,0.075377427480627,1.2318840579710144,True,1.5930368517119091,French_standard,N
Flight attendant,4,973,0.002272727272727273,,True,,43.28972737485826,6.0,1.0221406610677666e-07,True,0.1491492271875262,0.49126413155190135,True,5.181081040637405,Spanish_standard,M
Lawyer,4,980,0.002272727272727273,,True,,3.003064351378958,3.0,0.39115295482236123,False,0.05535658388085486,0.25,True,1.5,Spanish_standard,N
Metal worker,4,850,0.002272727272727273,,True,,38.80654255298398,6.0,7.810484159722636e-07,True,0.15108731903221898,0.9411764705882353,True,2.9644755431776524,Spanish_standard,F
Nurse,4,977,0.002272727272727273,,True,,75.6459051146257,6.0,2.8257620528183034e-14,True,0.19675710872413976,3.4677584442169906,True,5.598153143120723,Spanish_standard,M
Personal care worker,4,957,0.002272727272727273,,True,,250.64793399615516,3.0,4.7390058413047296e-54,True,0.5117714986902216,73.86206896551724,False,6.997416881140336,French_limited,N
Pilot,4,980,0.002272727272727273,,True,,3.003064351378958,3.0,0.39115295482236123,False,0.05535658388085486,0.25,True,1.5,Spanish_standard,N
Police Officer,4,980,0.002272727272727273,,True,,98.64699604494946,6.0,4.805737952699499e-19,True,0.2243437095684508,4.25,True,7.648529270389178,Spanish_standard,N
Politician,4,969,0.002272727272727273,,True,,5.9224278749762576,3.0,0.11544587775242535,False,0.07817862029866045,0.4932920536635707,True,2.101399542263445,Spanish_standard,N
Programmer,4,980,0.002272727272727273,,True,,6.012269938650307,3.0,0.11101478949189182,False,0.07832604499879574,0.5,True,2.1213203435596424,French_standard,N
Receptionist,4,968,0.002272727272727273,,True,,14.735501775836255,3.0,0.0020572163951674076,True,0.12338000567954167,3.209710743801653,True,2.6737992098648466,French_standard,M
Secretary,4,980,0.002272727272727273,,True,,2.0040899795501024,3.0,0.5715582480236783,False,0.04522156316461346,0.5,True,0.7071067811865475,Spanish_standard,N
Social worker,4,897,0.002272727272727273,,True,,466.8999021248614,6.0,1.1299328923696011e-97,True,0.5101532668713167,0.6956521739130435,True,17.02337377818976,Spanish_limited,F
Soldier,4,980,0.002272727272727273,,False,Only one response category observed across all conditions; no distributional variation to test.,,,,False,,,False,,,
Surgeon,4,980,0.002272727272727273,,True,,6.012269938650307,3.0,0.11101478949189182,False,0.07832604499879574,0.5,True,2.1213203435596424,Spanish_standard,N
Teacher,4,980,0.002272727272727273,,True,,42.753904510596186,6.0,1.3048059596601003e-07,True,0.14769298083199103,2.0,True,4.092676385936225,French_limited,F
Therapist,4,980,0.002272727272727273,,True,,9.02763561924258,3.0,0.02892570346748803,False,0.0959785032226476,0.75,True,2.598076211353316,Spanish_standard,N
