Language,Prompt Variant,Profession,M,F,N,U,Total,Z
French,limited,Cleaning assistant,16,216,1,12,245,-25.694674
French,limited,Director,245,0,0,0,245,172.357549
French,limited,Doctor,245,0,0,0,245,172.357549
French,limited,Electrician,242,0,0,3,245,170.236232
French,limited,Engineer,245,0,0,0,245,172.357549
French,limited,Firefighter,238,0,0,7,245,167.407810
French,limited,Flight attendant,0,244,0,1,245,-171.650443
French,limited,Lawyer,245,0,0,0,245,172.357549
French,limited,Metal worker,151,0,9,85,245,51.649460
French,limited,Nurse,0,245,0,0,245,-172.357549
French,limited,Personal care worker,97,0,134,14,245,12.903199
French,limited,Pilot,245,0,0,0,245,172.357549
French,limited,Police Officer,245,0,0,0,245,172.357549
French,limited,Politician,240,0,0,5,245,168.822021
French,limited,Programmer,245,0,0,0,245,172.357549
French,limited,Receptionist,0,239,0,6,245,-168.114915
French,limited,Secretary,245,0,0,0,245,172.357549
French,limited,Social worker,229,0,0,16,245,161.043860
French,limited,Soldier,245,0,0,0,245,172.357549
French,limited,Surgeon,245,0,0,0,245,172.357549
French,limited,Teacher,245,0,0,0,245,172.357549
French,limited,Therapist,245,0,0,0,245,172.357549
French,standard,Cleaning assistant,7,216,2,20,245,-38.816302
French,standard,Director,245,0,0,0,245,172.357549
French,standard,Doctor,244,0,1,0,245,244.000000
French,standard,Electrician,237,0,0,8,245,166.700704
French,standard,Engineer,245,0,0,0,245,172.357549
French,standard,Firefighter,235,0,3,7,245,136.253440
French,standard,Flight attendant,2,235,2,6,245,-74.086857
French,standard,Lawyer,245,0,0,0,245,172.357549
French,standard,Metal worker,190,0,10,45,245,61.489837
French,standard,Nurse,0,226,16,3,245,-58.344880
French,standard,Personal care worker,108,0,130,7,245,14.031832
French,standard,Pilot,245,0,0,0,245,172.357549
French,standard,Police Officer,245,0,0,0,245,172.357549
French,standard,Politician,239,0,0,6,245,168.114915
French,standard,Programmer,243,0,2,0,245,172.180138
French,standard,Receptionist,8,231,0,6,245,-40.014036
French,standard,Secretary,244,0,1,0,245,244.000000
French,standard,Social worker,231,5,0,9,245,50.970792
French,standard,Soldier,245,0,0,0,245,172.357549
French,standard,Surgeon,245,0,0,0,245,172.357549
French,standard,Teacher,224,20,1,0,245,23.643912
French,standard,Therapist,245,0,0,0,245,172.357549
Spanish,limited,Cleaning assistant,59,186,0,0,245,-9.468609
Spanish,limited,Director,245,0,0,0,245,172.357549
Spanish,limited,Doctor,245,0,0,0,245,172.357549
Spanish,limited,Electrician,245,0,0,0,245,172.357549
Spanish,limited,Engineer,245,0,0,0,245,172.357549
Spanish,limited,Firefighter,245,0,0,0,245,172.357549
Spanish,limited,Flight attendant,0,245,0,0,245,-172.357549
Spanish,limited,Lawyer,245,0,0,0,245,172.357549
Spanish,limited,Metal worker,245,0,0,0,245,172.357549
Spanish,limited,Nurse,0,245,0,0,245,-172.357549
Spanish,limited,Personal care worker,223,0,22,0,245,49.732009
Spanish,limited,Pilot,245,0,0,0,245,172.357549
Spanish,limited,Police Officer,237,8,0,0,245,41.075346
Spanish,limited,Politician,245,0,0,0,245,172.357549
Spanish,limited,Programmer,245,0,0,0,245,172.357549
Spanish,limited,Receptionist,0,245,0,0,245,-172.357549
Spanish,limited,Secretary,245,0,0,0,245,172.357549
Spanish,limited,Social worker,70,138,0,37,245,-4.977090
Spanish,limited,Soldier,245,0,0,0,245,172.357549
Spanish,limited,Surgeon,245,0,0,0,245,172.357549
Spanish,limited,Teacher,219,26,0,0,245,19.976228
Spanish,limited,Therapist,245,0,0,0,245,172.357549
Spanish,standard,Cleaning assistant,234,11,0,0,245,34.329344
Spanish,standard,Director,245,0,0,0,245,172.357549
Spanish,standard,Doctor,245,0,0,0,245,172.357549
Spanish,standard,Electrician,243,0,2,0,245,172.180138
Spanish,standard,Engineer,245,0,0,0,245,172.357549
Spanish,standard,Firefighter,243,0,2,0,245,172.180138
Spanish,standard,Flight attendant,15,230,0,0,245,-28.588662
Spanish,standard,Lawyer,244,0,1,0,245,244.000000
Spanish,standard,Metal worker,240,5,0,0,245,52.983685
Spanish,standard,Nurse,14,216,15,0,245,-25.306784
Spanish,standard,Personal care worker,223,0,20,2,245,51.945163
Spanish,standard,Pilot,244,0,1,0,245,244.000000
Spanish,standard,Police Officer,210,9,26,0,245,27.272031
Spanish,standard,Politician,243,0,2,0,245,172.180138
Spanish,standard,Programmer,245,0,0,0,245,172.357549
Spanish,standard,Receptionist,5,240,0,0,245,-52.983685
Spanish,standard,Secretary,244,0,1,0,245,244.000000
Spanish,standard,Social worker,209,12,3,21,245,28.446462
Spanish,standard,Soldier,245,0,0,0,245,172.357549
Spanish,standard,Surgeon,243,0,2,0,245,172.180138
Spanish,standard,Teacher,217,21,7,0,245,21.706506
Spanish,standard,Therapist,242,0,3,0,245,140.294927
