STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,isco08,International Standard Classification of Occupations 2008 (ISCO-08),age,Age class,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,NRP,No response,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,75.5,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,NRP,No response,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,76.5,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,NRP,No response,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,152.0,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC0,Armed forces occupations,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,36.4,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC0,Armed forces occupations,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,157.6,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC0,Armed forces occupations,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,194.1,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC01,Commissioned armed forces officers,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,8.3,,du,"definition differs (see metadata), low reliability",,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC01,Commissioned armed forces officers,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,26.8,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC01,Commissioned armed forces officers,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,35.0,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC02,Non-commissioned armed forces officers,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,16.3,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC02,Non-commissioned armed forces officers,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,65.6,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC02,Non-commissioned armed forces officers,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,81.9,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC03,"Armed forces occupations, other ranks",Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,11.4,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC03,"Armed forces occupations, other ranks",Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,63.9,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC03,"Armed forces occupations, other ranks",Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,75.3,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC1,Managers,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,759.3,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC1,Managers,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,1190.0,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC1,Managers,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,FR,France,2023,,1949.3,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC11,"Chief executives, senior officials and legislators",Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,FR,France,2023,,55.6,,d,definition differs (see metadata),,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC11,"Chief executives, senior officials and legislators",Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,FR,France,2023,,127.0,,d,definition differs (see metadata),,
