STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,isco08,International Standard Classification of Occupations 2008 (ISCO-08),age,Age class,sex,Sex,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,NRP,No response,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,DE,Germany,2023,,175.5,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,NRP,No response,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,DE,Germany,2023,,205.3,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,NRP,No response,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,DE,Germany,2023,,380.8,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC0,Armed forces occupations,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,DE,Germany,2023,,17.7,,u,low reliability,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC0,Armed forces occupations,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,DE,Germany,2023,,143.1,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC0,Armed forces occupations,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,DE,Germany,2023,,160.8,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC01,Commissioned armed forces officers,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,DE,Germany,2023,,,,u,low reliability,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC01,Commissioned armed forces officers,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,DE,Germany,2023,,,,u,low reliability,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC01,Commissioned armed forces officers,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,DE,Germany,2023,,,,u,low reliability,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC02,Non-commissioned armed forces officers,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,DE,Germany,2023,,,,u,low reliability,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC02,Non-commissioned armed forces officers,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,DE,Germany,2023,,,,u,low reliability,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC02,Non-commissioned armed forces officers,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,DE,Germany,2023,,,,u,low reliability,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC03,"Armed forces occupations, other ranks",Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,DE,Germany,2023,,16.1,,u,low reliability,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC03,"Armed forces occupations, other ranks",Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,DE,Germany,2023,,130.7,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC03,"Armed forces occupations, other ranks",Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,DE,Germany,2023,,146.8,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC1,Managers,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,DE,Germany,2023,,503.1,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC1,Managers,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,DE,Germany,2023,,1225.9,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC1,Managers,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,DE,Germany,2023,,1729.0,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC11,"Chief executives, senior officials and legislators",Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,DE,Germany,2023,,118.4,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC11,"Chief executives, senior officials and legislators",Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,DE,Germany,2023,,429.5,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC11,"Chief executives, senior officials and legislators",Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,DE,Germany,2023,,547.9,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC12,Administrative and commercial managers,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,DE,Germany,2023,,152.1,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC12,Administrative and commercial managers,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,DE,Germany,2023,,316.5,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC12,Administrative and commercial managers,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,DE,Germany,2023,,468.5,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC13,Production and specialised services managers,Y20-64,From 20 to 64 years,F,Females,THS_PER,Thousand persons,DE,Germany,2023,,140.9,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC13,Production and specialised services managers,Y20-64,From 20 to 64 years,M,Males,THS_PER,Thousand persons,DE,Germany,2023,,358.2,,,,,
dataflow,ESTAT:LFSA_EGAI2D(1.0),Employed persons by detailed occupation (ISCO-08 two digit level),A,Annual,OC13,Production and specialised services managers,Y20-64,From 20 to 64 years,T,Total,THS_PER,Thousand persons,DE,Germany,2023,,499.1,,,,,
