Language,Prompt Variant,Profession,M,F,N,U,Total,effective_n,U_count,total_count,U_rate,p_M_raw,p_F_raw,p_N_raw,theta_raw,zero_variance_raw,smoothing_alpha,p_M_smooth,p_F_smooth,p_N_smooth,theta_smooth,variance_smooth,SE_smooth,CI_lower_95_smooth,CI_upper_95_smooth,Z_smooth,p_value_wald_smooth,alpha_bonferroni,significant_wald_bonferroni,gendered_n_raw,p_value_exact_gendered_raw,significant_exact_bonferroni,note
French,limited,Cleaning assistant,16,216,1,12,245,233,12,245,0.048980,0.068670,0.927039,0.004292,-0.858369,FALSE,0.500000,0.070362,0.923241,0.006397,-0.852878,0.266202,0.033801,-0.919127,-0.786630,-25.232464,0.000000,0.000568,TRUE,232,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,limited,Director,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,limited,Doctor,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,limited,Electrician,242,0,0,3,245,242,3,245,0.012245,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995893,0.002053,0.002053,0.993840,0.010229,0.006501,0.981097,1.000000,152.864854,0.000000,0.000568,TRUE,242,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,limited,Engineer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,limited,Firefighter,238,0,0,7,245,238,7,245,0.028571,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995825,0.002088,0.002088,0.993737,0.010399,0.006610,0.980781,1.000000,150.335038,0.000000,0.000568,TRUE,238,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,limited,Flight attendant,0,244,0,1,245,244,1,245,0.004082,0.000000,1.000000,0.000000,-1.000000,TRUE,0.500000,0.002037,0.995927,0.002037,-0.993890,0.010146,0.006448,-1.000000,-0.981251,-154.129762,0.000000,0.000568,TRUE,244,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,limited,Lawyer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,limited,Metal worker,151,0,9,85,245,160,85,245,0.346939,0.943750,0.000000,0.056250,0.943750,FALSE,0.500000,0.938080,0.003096,0.058824,0.934985,0.066980,0.020460,0.894883,0.975086,45.697294,0.000000,0.000568,TRUE,151,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,limited,Nurse,0,245,0,0,245,245,0,245,0.000000,0.000000,1.000000,0.000000,-1.000000,TRUE,0.500000,0.002028,0.995943,0.002028,-0.993915,0.010105,0.006422,-1.000000,-0.981328,-154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,limited,Personal care worker,97,0,134,14,245,231,14,245,0.057143,0.419913,0.000000,0.580087,0.419913,FALSE,0.500000,0.419355,0.002151,0.578495,0.417204,0.247446,0.032729,0.353056,0.481352,12.747194,0.000000,0.000568,TRUE,97,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,limited,Pilot,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,limited,Police Officer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,limited,Politician,240,0,0,5,245,240,5,245,0.020408,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995859,0.002070,0.002070,0.993789,0.010313,0.006555,0.980941,1.000000,151.599946,0.000000,0.000568,TRUE,240,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,limited,Programmer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,limited,Receptionist,0,239,0,6,245,239,6,245,0.024490,0.000000,1.000000,0.000000,-1.000000,TRUE,0.500000,0.002079,0.995842,0.002079,-0.993763,0.010356,0.006583,-1.000000,-0.980861,-150.967492,0.000000,0.000568,TRUE,239,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,limited,Secretary,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,limited,Social worker,229,0,0,16,245,229,16,245,0.065306,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995662,0.002169,0.002169,0.993492,0.010804,0.006869,0.980030,1.000000,144.642952,0.000000,0.000568,TRUE,229,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,limited,Soldier,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,limited,Surgeon,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,limited,Teacher,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,limited,Therapist,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,standard,Cleaning assistant,7,216,2,20,245,225,20,245,0.081633,0.031111,0.960000,0.008889,-0.928889,FALSE,0.500000,0.033113,0.955850,0.011038,-0.922737,0.137518,0.024722,-0.971192,-0.874282,-37.324074,0.000000,0.000568,TRUE,223,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,standard,Director,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,standard,Doctor,244,0,1,0,245,245,0,245,0.000000,0.995918,0.000000,0.004082,0.995918,FALSE,0.500000,0.991886,0.002028,0.006085,0.989858,0.014096,0.007585,0.974991,1.000000,130.499601,0.000000,0.000568,TRUE,244,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,standard,Electrician,237,0,0,8,245,237,8,245,0.032653,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995807,0.002096,0.002096,0.993711,0.010443,0.006638,0.980701,1.000000,149.702584,0.000000,0.000568,TRUE,237,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,standard,Engineer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,standard,Firefighter,235,0,3,7,245,238,7,245,0.028571,0.987395,0.000000,0.012605,0.987395,FALSE,0.500000,0.983299,0.002088,0.014614,0.981211,0.022611,0.009747,0.962107,1.000000,100.666821,0.000000,0.000568,TRUE,235,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,standard,Flight attendant,2,235,2,6,245,239,6,245,0.024490,0.008368,0.983264,0.008368,-0.974895,FALSE,0.500000,0.010395,0.979210,0.010395,-0.968815,0.051003,0.014608,-0.997447,-0.940183,-66.319900,0.000000,0.000568,TRUE,237,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,standard,Lawyer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,standard,Metal worker,190,0,10,45,245,200,45,245,0.183673,0.950000,0.000000,0.050000,0.950000,FALSE,0.500000,0.945409,0.002481,0.052109,0.942928,0.058778,0.017143,0.909328,0.976528,55.003190,0.000000,0.000568,TRUE,190,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,standard,Nurse,0,226,16,3,245,242,3,245,0.012245,0.000000,0.933884,0.066116,-0.933884,FALSE,0.500000,0.002053,0.930185,0.067762,-0.928131,0.070810,0.017106,-0.961658,-0.894605,-54.258657,0.000000,0.000568,TRUE,226,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,standard,Personal care worker,108,0,130,7,245,238,7,245,0.028571,0.453782,0.000000,0.546218,0.453782,FALSE,0.500000,0.453027,0.002088,0.544885,0.450939,0.251768,0.032525,0.387192,0.514687,13.864560,0.000000,0.000568,TRUE,108,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,standard,Pilot,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,standard,Police Officer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,standard,Politician,239,0,0,6,245,239,6,245,0.024490,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995842,0.002079,0.002079,0.993763,0.010356,0.006583,0.980861,1.000000,150.967492,0.000000,0.000568,TRUE,239,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,standard,Programmer,243,0,2,0,245,245,0,245,0.000000,0.991837,0.000000,0.008163,0.991837,FALSE,0.500000,0.987830,0.002028,0.010142,0.985801,0.018054,0.008584,0.968976,1.000000,114.838101,0.000000,0.000568,TRUE,243,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,standard,Receptionist,8,231,0,6,245,239,6,245,0.024490,0.033473,0.966527,0.000000,-0.933054,FALSE,0.500000,0.035343,0.962578,0.002079,-0.927235,0.138156,0.024043,-0.974358,-0.880112,-38.565880,0.000000,0.000568,TRUE,239,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,standard,Secretary,244,0,1,0,245,245,0,245,0.000000,0.995918,0.000000,0.004082,0.995918,FALSE,0.500000,0.991886,0.002028,0.006085,0.989858,0.014096,0.007585,0.974991,1.000000,130.499601,0.000000,0.000568,TRUE,244,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,standard,Social worker,231,5,0,9,245,236,9,245,0.036735,0.978814,0.021186,0.000000,0.957627,FALSE,0.500000,0.974737,0.023158,0.002105,0.951579,0.092392,0.019786,0.912799,0.990359,48.093133,0.000000,0.000568,TRUE,236,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,standard,Soldier,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,standard,Surgeon,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,standard,Teacher,224,20,1,0,245,245,0,245,0.000000,0.914286,0.081633,0.004082,0.832653,FALSE,0.500000,0.910751,0.083164,0.006085,0.827586,0.309016,0.035515,0.757979,0.897194,23.302681,0.000000,0.000568,TRUE,244,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
French,standard,Therapist,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
Spanish,limited,Cleaning assistant,59,186,0,0,245,245,0,245,0.000000,0.240816,0.759184,0.000000,-0.518367,FALSE,0.500000,0.241379,0.756592,0.002028,-0.515213,0.732527,0.054680,-0.622384,-0.408042,-9.422323,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
Spanish,limited,Director,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
Spanish,limited,Doctor,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
Spanish,limited,Electrician,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
Spanish,limited,Engineer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
Spanish,limited,Firefighter,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.500000,0.995943,0.002028,0.002028,0.993915,0.010105,0.006422,0.981328,1.000000,154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
Spanish,limited,Flight attendant,0,245,0,0,245,245,0,245,0.000000,0.000000,1.000000,0.000000,-1.000000,TRUE,0.500000,0.002028,0.995943,0.002028,-0.993915,0.010105,0.006422,-1.000000,-0.981328,-154.762216,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=0.5; raw proportions are reported separately.
