Language,Prompt Variant,Profession,M,F,N,U,Total,effective_n,U_count,total_count,U_rate,p_M_raw,p_F_raw,p_N_raw,theta_raw,zero_variance_raw,smoothing_alpha,p_M_smooth,p_F_smooth,p_N_smooth,theta_smooth,variance_smooth,SE_smooth,CI_lower_95_smooth,CI_upper_95_smooth,Z_smooth,p_value_wald_smooth,alpha_bonferroni,significant_wald_bonferroni,gendered_n_raw,p_value_exact_gendered_raw,significant_exact_bonferroni,note
French,limited,Cleaning assistant,16,216,1,12,245,233,12,245,0.048980,0.068670,0.927039,0.004292,-0.858369,FALSE,1.000000,0.072034,0.919492,0.008475,-0.847458,0.273341,0.034251,-0.914589,-0.780327,-24.742499,0.000000,0.000568,TRUE,232,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,limited,Director,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,limited,Doctor,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,limited,Electrician,242,0,0,3,245,242,3,245,0.012245,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991837,0.004082,0.004082,0.987755,0.020258,0.009149,0.969823,1.000000,107.958356,0.000000,0.000568,TRUE,242,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,limited,Engineer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,limited,Firefighter,238,0,0,7,245,238,7,245,0.028571,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991701,0.004149,0.004149,0.987552,0.020592,0.009302,0.969321,1.000000,106.169518,0.000000,0.000568,TRUE,238,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,limited,Flight attendant,0,244,0,1,245,244,1,245,0.004082,0.000000,1.000000,0.000000,-1.000000,TRUE,1.000000,0.004049,0.991903,0.004049,-0.987854,0.020095,0.009075,-1.000000,-0.970067,-108.852775,0.000000,0.000568,TRUE,244,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,limited,Lawyer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,limited,Metal worker,151,0,9,85,245,160,85,245,0.346939,0.943750,0.000000,0.056250,0.943750,FALSE,1.000000,0.932515,0.006135,0.061350,0.926380,0.080470,0.022426,0.882426,0.970335,41.307897,0.000000,0.000568,TRUE,151,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,limited,Nurse,0,245,0,0,245,245,0,245,0.000000,0.000000,1.000000,0.000000,-1.000000,TRUE,1.000000,0.004032,0.991935,0.004032,-0.987903,0.020015,0.009038,-1.000000,-0.970188,-109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,limited,Personal care worker,97,0,134,14,245,231,14,245,0.057143,0.419913,0.000000,0.580087,0.419913,FALSE,1.000000,0.418803,0.004274,0.576923,0.414530,0.251242,0.032979,0.349892,0.479168,12.569438,0.000000,0.000568,TRUE,97,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,limited,Pilot,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,limited,Police Officer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,limited,Politician,240,0,0,5,245,240,5,245,0.020408,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991770,0.004115,0.004115,0.987654,0.020424,0.009225,0.969574,1.000000,107.063937,0.000000,0.000568,TRUE,240,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,limited,Programmer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,limited,Receptionist,0,239,0,6,245,239,6,245,0.024490,0.000000,1.000000,0.000000,-1.000000,TRUE,1.000000,0.004132,0.991736,0.004132,-0.987603,0.020507,0.009263,-1.000000,-0.969448,-106.616727,0.000000,0.000568,TRUE,239,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,limited,Secretary,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,limited,Social worker,229,0,0,16,245,229,16,245,0.065306,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991379,0.004310,0.004310,0.987069,0.021385,0.009663,0.968129,1.000000,102.144635,0.000000,0.000568,TRUE,229,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,limited,Soldier,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,limited,Surgeon,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,limited,Teacher,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,limited,Therapist,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,standard,Cleaning assistant,7,216,2,20,245,225,20,245,0.081633,0.031111,0.960000,0.008889,-0.928889,FALSE,1.000000,0.035088,0.951754,0.013158,-0.916667,0.146564,0.025522,-0.966690,-0.866644,-35.916049,0.000000,0.000568,TRUE,223,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,standard,Director,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,standard,Doctor,244,0,1,0,245,245,0,245,0.000000,0.995918,0.000000,0.004082,0.995918,FALSE,1.000000,0.987903,0.004032,0.008065,0.983871,0.023933,0.009884,0.964499,1.000000,99.544888,0.000000,0.000568,TRUE,244,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,standard,Electrician,237,0,0,8,245,237,8,245,0.032653,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991667,0.004167,0.004167,0.987500,0.020677,0.009341,0.969193,1.000000,105.722309,0.000000,0.000568,TRUE,237,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,standard,Engineer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,standard,Firefighter,235,0,3,7,245,238,7,245,0.028571,0.987395,0.000000,0.012605,0.987395,FALSE,1.000000,0.979253,0.004149,0.016598,0.975104,0.032575,0.011699,0.952174,0.998034,83.348114,0.000000,0.000568,TRUE,235,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,standard,Flight attendant,2,235,2,6,245,239,6,245,0.024490,0.008368,0.983264,0.008368,-0.974895,FALSE,1.000000,0.012397,0.975207,0.012397,-0.962810,0.060600,0.015924,-0.994019,-0.931600,-60.464696,0.000000,0.000568,TRUE,237,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,standard,Lawyer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,1.000000,0.991935,0.004032,0.004032,0.987903,0.020015,0.009038,0.970188,1.000000,109.299984,0.000000,0.000568,TRUE,245,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,standard,Metal worker,190,0,10,45,245,200,45,245,0.183673,0.950000,0.000000,0.050000,0.950000,FALSE,1.000000,0.940887,0.004926,0.054187,0.935961,0.069791,0.018680,0.899348,0.972573,50.104203,0.000000,0.000568,TRUE,190,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,standard,Nurse,0,226,16,3,245,242,3,245,0.012245,0.000000,0.933884,0.066116,-0.933884,FALSE,1.000000,0.004082,0.926531,0.069388,-0.922449,0.079700,0.018148,-0.958018,-0.886880,-50.830050,0.000000,0.000568,TRUE,226,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
French,standard,Personal care worker,108,0,130,7,245,238,7,245,0.028571,0.453782,0.000000,0.546218,0.453782,FALSE,1.000000,0.452282,0.004149,0.543568,0.448133,0.255609,0.032772,0.383901,0.512364,13.674376,0.000000,0.000568,TRUE,108,0.000000,TRUE,Wald inference uses symmetric smoothing with alpha=1.0; raw proportions are reported separately.
