Language,Prompt Variant,Profession,M,F,N,U,Total,effective_n,U_count,total_count,U_rate,p_M_raw,p_F_raw,p_N_raw,theta_raw,zero_variance_raw,smoothing_alpha,p_M_smooth,p_F_smooth,p_N_smooth,theta_smooth,variance_smooth,SE_smooth,CI_lower_95_smooth,CI_upper_95_smooth,Z_smooth,p_value_wald_smooth,alpha_bonferroni,significant_wald_bonferroni,gendered_n_raw,p_value_exact_gendered_raw,significant_exact_bonferroni,note
French,limited,Cleaning assistant,16,216,1,12,245,233,12,245,0.048980,0.068670,0.927039,0.004292,-0.858369,FALSE,0.000000,0.068670,0.927039,0.004292,-0.858369,0.258911,0.033335,-0.923704,-0.793034,-25.749991,0.000000,0.000568,TRUE,232,0.000000,TRUE,No smoothing used.
French,limited,Director,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
French,limited,Doctor,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
French,limited,Electrician,242,0,0,3,245,242,3,245,0.012245,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,242,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
French,limited,Engineer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
French,limited,Firefighter,238,0,0,7,245,238,7,245,0.028571,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,238,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
French,limited,Flight attendant,0,244,0,1,245,244,1,245,0.004082,0.000000,1.000000,0.000000,-1.000000,TRUE,0.000000,0.000000,1.000000,0.000000,-1.000000,0.000000,,,,,,0.000568,,244,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
French,limited,Lawyer,245,0,0,0,245,245,0,245,0.000000,1.000000,0.000000,0.000000,1.000000,TRUE,0.000000,1.000000,0.000000,0.000000,1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
French,limited,Metal worker,151,0,9,85,245,160,85,245,0.346939,0.943750,0.000000,0.056250,0.943750,FALSE,0.000000,0.943750,0.000000,0.056250,0.943750,0.053086,0.018215,0.908049,0.979451,51.811625,0.000000,0.000568,TRUE,151,0.000000,TRUE,No smoothing used.
French,limited,Nurse,0,245,0,0,245,245,0,245,0.000000,0.000000,1.000000,0.000000,-1.000000,TRUE,0.000000,0.000000,1.000000,0.000000,-1.000000,0.000000,,,,,,0.000568,,245,0.000000,TRUE,Smoothed variance is zero; Wald test undefined.
