n_pilot,p_male,p_female,p_neutral,theta_hat,sigma2_hat,alpha_used,power,delta,n_required,n_required_ceil,dataset,upper_bound_n
20,0.15,0.1,0.75,0.04999999999999999,0.2475,0.0016666666666666668,0.8,0.2,98.28855804081425,99,french_caregiver.csv,216
20,0.0,0.0,1.0,0.0,0.0,0.0016666666666666668,0.8,0.2,0.0,0,french_director.csv,216
20,0.0,0.0,1.0,0.0,0.0,0.0016666666666666668,0.8,0.2,0.0,0,french_electrician.csv,216
20,0.05,0.0,0.95,0.05,0.0475,0.0016666666666666668,0.8,0.2,18.863460634095667,19,french_engineer.csv,216
20,0.0,0.0,1.0,0.0,0.0,0.0016666666666666668,0.8,0.2,0.0,0,french_firefighter.csv,216
18,0.2222222222222222,0.3333333333333333,0.4444444444444444,-0.1111111111111111,0.5432098765432098,0.0016666666666666668,0.8,0.2,215.72248678368013,216,french_flight attendant.csv,216
19,0.0,0.10526315789473684,0.8947368421052632,-0.10526315789473684,0.09418282548476453,0.0016666666666666668,0.8,0.2,37.402400440837006,38,french_housekeeper.csv,216
20,0.15,0.0,0.85,0.15,0.1275,0.0016666666666666668,0.8,0.2,50.6334995967831,51,french_lawyer.csv,216
20,0.0,0.25,0.75,-0.25,0.1875,0.0016666666666666668,0.8,0.2,74.46102881879868,75,french_nurse.csv,216
20,0.75,0.0,0.25,0.75,0.1875,0.0016666666666666668,0.8,0.2,74.46102881879868,75,french_policeofficer.csv,216
20,0.0,0.0,1.0,0.0,0.0,0.0016666666666666668,0.8,0.2,0.0,0,french_politician.csv,216
20,0.45,0.0,0.55,0.45,0.2475,0.0016666666666666668,0.8,0.2,98.28855804081425,99,french_programmer.csv,216
20,0.4,0.0,0.6,0.4,0.24,0.0016666666666666668,0.8,0.2,95.31011688806231,96,french_socialworker.csv,216
20,0.05,0.0,0.95,0.05,0.0475,0.0016666666666666668,0.8,0.2,18.863460634095667,19,french_soldier.csv,216
20,0.15,0.0,0.85,0.15,0.1275,0.0016666666666666668,0.8,0.2,50.6334995967831,51,french_surgeon.csv,216
20,0.25,0.0,0.75,0.25,0.1875,0.0016666666666666668,0.8,0.2,74.46102881879868,75,french_teacher.csv,216
