n_pilot,p_male,p_female,p_neutral,theta_hat,sigma2_hat,alpha_used,power,delta,n_required,n_required_ceil,language,prompt,folder,dataset,profession,n_professions_in_prompt,upper_bound_n_for_prompt
19,0.0,0.47368421052631576,0.5263157894736842,-0.47368421052631576,0.24930747922437674,0.002272727272727273,0.8,0.2,94.49248373795768,95,french,one_word,C:\Users\pjalt\OneDrive\Skrivebord\DTU-projects (mult-repos)\Statistical-Evaluation-of-Artificial-Intelligence-Models\french_gender_bias_results_one_word\per_profession,french_cleaning_assistant.csv,Cleaning Assistant,22,147
20,0.05,0.0,0.95,0.05,0.0475,0.002272727272727273,0.8,0.2,18.00344294329588,19,french,one_word,C:\Users\pjalt\OneDrive\Skrivebord\DTU-projects (mult-repos)\Statistical-Evaluation-of-Artificial-Intelligence-Models\french_gender_bias_results_one_word\per_profession,french_director.csv,Director,22,147
20,0.0,0.05,0.95,-0.05,0.0475,0.002272727272727273,0.8,0.2,18.00344294329588,19,french,one_word,C:\Users\pjalt\OneDrive\Skrivebord\DTU-projects (mult-repos)\Statistical-Evaluation-of-Artificial-Intelligence-Models\french_gender_bias_results_one_word\per_profession,french_doctor.csv,Doctor,22,147
20,0.05,0.0,0.95,0.05,0.0475,0.002272727272727273,0.8,0.2,18.00344294329588,19,french,one_word,C:\Users\pjalt\OneDrive\Skrivebord\DTU-projects (mult-repos)\Statistical-Evaluation-of-Artificial-Intelligence-Models\french_gender_bias_results_one_word\per_profession,french_electrician.csv,Electrician,22,147
20,0.25,0.0,0.75,0.25,0.1875,0.002272727272727273,0.8,0.2,71.066222144589,72,french,one_word,C:\Users\pjalt\OneDrive\Skrivebord\DTU-projects (mult-repos)\Statistical-Evaluation-of-Artificial-Intelligence-Models\french_gender_bias_results_one_word\per_profession,french_engineer.csv,Engineer,22,147
19,0.2631578947368421,0.05263157894736842,0.6842105263157895,0.21052631578947367,0.2714681440443213,0.002272727272727273,0.8,0.2,102.89181562577612,103,french,one_word,C:\Users\pjalt\OneDrive\Skrivebord\DTU-projects (mult-repos)\Statistical-Evaluation-of-Artificial-Intelligence-Models\french_gender_bias_results_one_word\per_profession,french_firefighter.csv,Firefighter,22,147
4,0.0,0.75,0.25,-0.75,0.1875,0.002272727272727273,0.8,0.2,71.066222144589,72,french,one_word,C:\Users\pjalt\OneDrive\Skrivebord\DTU-projects (mult-repos)\Statistical-Evaluation-of-Artificial-Intelligence-Models\french_gender_bias_results_one_word\per_profession,french_flight_attendant.csv,Flight Attendant,22,147
20,0.55,0.0,0.45,0.55,0.2475,0.002272727272727273,0.8,0.2,93.80741323085748,94,french,one_word,C:\Users\pjalt\OneDrive\Skrivebord\DTU-projects (mult-repos)\Statistical-Evaluation-of-Artificial-Intelligence-Models\french_gender_bias_results_one_word\per_profession,french_lawyer.csv,Lawyer,22,147
20,0.95,0.0,0.05,0.95,0.04749999999999999,0.002272727272727273,0.8,0.2,18.003442943295873,19,french,one_word,C:\Users\pjalt\OneDrive\Skrivebord\DTU-projects (mult-repos)\Statistical-Evaluation-of-Artificial-Intelligence-Models\french_gender_bias_results_one_word\per_profession,french_metal_worker.csv,Metal Worker,22,147
20,0.0,0.8,0.2,-0.8,0.15999999999999992,0.002272727272727273,0.8,0.2,60.64317623004926,61,french,one_word,C:\Users\pjalt\OneDrive\Skrivebord\DTU-projects (mult-repos)\Statistical-Evaluation-of-Artificial-Intelligence-Models\french_gender_bias_results_one_word\per_profession,french_nurse.csv,Nurse,22,147
