n_pilot,p_male,p_female,p_neutral,theta_hat,sigma2_hat,alpha_used,power,delta,n_required,n_required_ceil,language,prompt,folder,dataset,profession,n_professions_in_prompt,upper_bound_n_for_prompt
20,0.0,0.1,0.9,-0.1,0.09,0.002272727272727273,0.8,0.2,34.111786629402715,35,german,limited,C:\Users\pjalt\OneDrive\Skrivebord\DTU-projects (mult-repos)\Statistical-Evaluation-of-Artificial-Intelligence-Models\german_gender_bias_results_limited\per_profession,german_cleaning_assistant.csv,Cleaning Assistant,22,194
20,1.0,0.0,0.0,1.0,0.0,0.002272727272727273,0.8,0.2,0.0,0,german,limited,C:\Users\pjalt\OneDrive\Skrivebord\DTU-projects (mult-repos)\Statistical-Evaluation-of-Artificial-Intelligence-Models\german_gender_bias_results_limited\per_profession,german_director.csv,Director,22,194
20,1.0,0.0,0.0,1.0,0.0,0.002272727272727273,0.8,0.2,0.0,0,german,limited,C:\Users\pjalt\OneDrive\Skrivebord\DTU-projects (mult-repos)\Statistical-Evaluation-of-Artificial-Intelligence-Models\german_gender_bias_results_limited\per_profession,german_doctor.csv,Doctor,22,194
18,1.0,0.0,0.0,1.0,0.0,0.002272727272727273,0.8,0.2,0.0,0,german,limited,C:\Users\pjalt\OneDrive\Skrivebord\DTU-projects (mult-repos)\Statistical-Evaluation-of-Artificial-Intelligence-Models\german_gender_bias_results_limited\per_profession,german_electrician.csv,Electrician,22,194
20,1.0,0.0,0.0,1.0,0.0,0.002272727272727273,0.8,0.2,0.0,0,german,limited,C:\Users\pjalt\OneDrive\Skrivebord\DTU-projects (mult-repos)\Statistical-Evaluation-of-Artificial-Intelligence-Models\german_gender_bias_results_limited\per_profession,german_engineer.csv,Engineer,22,194
20,1.0,0.0,0.0,1.0,0.0,0.002272727272727273,0.8,0.2,0.0,0,german,limited,C:\Users\pjalt\OneDrive\Skrivebord\DTU-projects (mult-repos)\Statistical-Evaluation-of-Artificial-Intelligence-Models\german_gender_bias_results_limited\per_profession,german_firefighter.csv,Firefighter,22,194
20,0.0,1.0,0.0,-1.0,0.0,0.002272727272727273,0.8,0.2,0.0,0,german,limited,C:\Users\pjalt\OneDrive\Skrivebord\DTU-projects (mult-repos)\Statistical-Evaluation-of-Artificial-Intelligence-Models\german_gender_bias_results_limited\per_profession,german_flight_attendant.csv,Flight Attendant,22,194
20,1.0,0.0,0.0,1.0,0.0,0.002272727272727273,0.8,0.2,0.0,0,german,limited,C:\Users\pjalt\OneDrive\Skrivebord\DTU-projects (mult-repos)\Statistical-Evaluation-of-Artificial-Intelligence-Models\german_gender_bias_results_limited\per_profession,german_lawyer.csv,Lawyer,22,194
20,1.0,0.0,0.0,1.0,0.0,0.002272727272727273,0.8,0.2,0.0,0,german,limited,C:\Users\pjalt\OneDrive\Skrivebord\DTU-projects (mult-repos)\Statistical-Evaluation-of-Artificial-Intelligence-Models\german_gender_bias_results_limited\per_profession,german_metal_worker.csv,Metal Worker,22,194
19,0.0,0.9473684210526315,0.05263157894736842,-0.9473684210526315,0.049861495844875425,0.002272727272727273,0.8,0.2,18.89849674759156,19,german,limited,C:\Users\pjalt\OneDrive\Skrivebord\DTU-projects (mult-repos)\Statistical-Evaluation-of-Artificial-Intelligence-Models\german_gender_bias_results_limited\per_profession,german_nurse.csv,Nurse,22,194
