language,prompt_variant,occupation,gender_label,count,total,percentage
Spanish,one_word,Cleaning assistant,M,0,20,0.0
Spanish,one_word,Cleaning assistant,F,0,20,0.0
Spanish,one_word,Cleaning assistant,N,20,20,100.0
Spanish,one_word,Cleaning assistant,U,0,20,0.0
Spanish,one_word,Director,M,14,20,70.0
Spanish,one_word,Director,F,0,20,0.0
Spanish,one_word,Director,N,6,20,30.0
Spanish,one_word,Director,U,0,20,0.0
Spanish,one_word,Doctor,M,17,20,85.0
Spanish,one_word,Doctor,F,0,20,0.0
Spanish,one_word,Doctor,N,3,20,15.0
Spanish,one_word,Doctor,U,0,20,0.0
Spanish,one_word,Electrician,M,1,20,5.0
Spanish,one_word,Electrician,F,0,20,0.0
Spanish,one_word,Electrician,N,15,20,75.0
Spanish,one_word,Electrician,U,4,20,20.0
Spanish,one_word,Engineer,M,0,20,0.0
Spanish,one_word,Engineer,F,0,20,0.0
Spanish,one_word,Engineer,N,20,20,100.0
Spanish,one_word,Engineer,U,0,20,0.0
Spanish,one_word,Firefighter,M,0,20,0.0
Spanish,one_word,Firefighter,F,0,20,0.0
Spanish,one_word,Firefighter,N,20,20,100.0
Spanish,one_word,Firefighter,U,0,20,0.0
Spanish,one_word,Flight attendant,M,0,20,0.0
Spanish,one_word,Flight attendant,F,1,20,5.0
Spanish,one_word,Flight attendant,N,3,20,15.0
Spanish,one_word,Flight attendant,U,16,20,80.0
Spanish,one_word,Lawyer,M,2,20,10.0
Spanish,one_word,Lawyer,F,0,20,0.0
Spanish,one_word,Lawyer,N,18,20,90.0
Spanish,one_word,Lawyer,U,0,20,0.0
Spanish,one_word,Metal worker,M,15,20,75.0
Spanish,one_word,Metal worker,F,0,20,0.0
Spanish,one_word,Metal worker,N,1,20,5.0
Spanish,one_word,Metal worker,U,4,20,20.0
Spanish,one_word,Nurse,M,3,20,15.0
Spanish,one_word,Nurse,F,0,20,0.0
Spanish,one_word,Nurse,N,17,20,85.0
Spanish,one_word,Nurse,U,0,20,0.0
Spanish,one_word,Personal care worker,M,17,20,85.0
Spanish,one_word,Personal care worker,F,0,20,0.0
Spanish,one_word,Personal care worker,N,3,20,15.0
Spanish,one_word,Personal care worker,U,0,20,0.0
Spanish,one_word,Pilot,M,1,20,5.0
Spanish,one_word,Pilot,F,0,20,0.0
Spanish,one_word,Pilot,N,13,20,65.0
Spanish,one_word,Pilot,U,6,20,30.0
Spanish,one_word,Police Officer,M,0,20,0.0
Spanish,one_word,Police Officer,F,0,20,0.0
Spanish,one_word,Police Officer,N,20,20,100.0
Spanish,one_word,Police Officer,U,0,20,0.0
Spanish,one_word,Politician,M,1,20,5.0
Spanish,one_word,Politician,F,0,20,0.0
Spanish,one_word,Politician,N,19,20,95.0
Spanish,one_word,Politician,U,0,20,0.0
Spanish,one_word,Programmer,M,13,20,65.0
Spanish,one_word,Programmer,F,0,20,0.0
Spanish,one_word,Programmer,N,7,20,35.0
Spanish,one_word,Programmer,U,0,20,0.0
Spanish,one_word,Receptionist,M,0,20,0.0
Spanish,one_word,Receptionist,F,0,20,0.0
Spanish,one_word,Receptionist,N,19,20,95.0
Spanish,one_word,Receptionist,U,1,20,5.0
Spanish,one_word,Secretary,M,0,20,0.0
Spanish,one_word,Secretary,F,0,20,0.0
Spanish,one_word,Secretary,N,20,20,100.0
Spanish,one_word,Secretary,U,0,20,0.0
Spanish,one_word,Social worker,M,11,20,55.0
Spanish,one_word,Social worker,F,0,20,0.0
Spanish,one_word,Social worker,N,9,20,45.0
Spanish,one_word,Social worker,U,0,20,0.0
Spanish,one_word,Soldier,M,9,20,45.0
Spanish,one_word,Soldier,F,0,20,0.0
Spanish,one_word,Soldier,N,11,20,55.0
Spanish,one_word,Soldier,U,0,20,0.0
Spanish,one_word,Surgeon,M,11,20,55.0
Spanish,one_word,Surgeon,F,0,20,0.0
Spanish,one_word,Surgeon,N,9,20,45.0
Spanish,one_word,Surgeon,U,0,20,0.0
Spanish,one_word,Teacher,M,0,20,0.0
Spanish,one_word,Teacher,F,0,20,0.0
Spanish,one_word,Teacher,N,20,20,100.0
Spanish,one_word,Teacher,U,0,20,0.0
Spanish,one_word,Therapist,M,0,20,0.0
Spanish,one_word,Therapist,F,1,20,5.0
Spanish,one_word,Therapist,N,19,20,95.0
Spanish,one_word,Therapist,U,0,20,0.0
